Run number,fill number,bcs,bcsA,bcsC,bcsE,run duration,mu,interaction rate,ref counts
248948, 4725, -1, 0, 0, 0, 888, 0, 0, 0
249028, 4725, -1, 0, 0, 0, 21098, 0, 0, 0
249053, 4725, -1, 0, 0, 0, 31185, 0, 0, 0
249055, 4725, -1, 0, 0, 0, 49585, 0, 0, 0
249067, 4725, -1, 0, 0, 0, 5549, 0, 0, 0
249124, 4725, -1, 0, 0, 0, 4932, 0, 0, 0
249153, 4725, -1, 0, 0, 0, 68431, 0, 0, 0
249215, 4725, -1, 0, 0, 0, 2205, 0, 0, 0
249255, 4725, -1, 0, 0, 0, 659, 0, 0, 0
249256, 4725, -1, 0, 0, 0, 1376, 0, 0, 0
249262, 4725, -1, 0, 0, 0, 10942, 0, 0, 0
249268, 4725, -1, 0, 0, 0, 40225, 0, 0, 0
249277, 4725, -1, 0, 0, 0, 15574, 0, 0, 0
249309, 4725, -1, 0, 0, 0, 285, 0, 0, 0
249311, 4725, -1, 0, 0, 0, 2182, 0, 0, 0
249314, 4725, -1, 0, 0, 0, 66318, 0, 0, 0
249337, 4725, -1, 0, 0, 0, 15381, 0, 0, 0
249365, 4725, -1, 0, 0, 0, 648, 0, 0, 0
249375, 4725, -1, 0, 0, 0, 38771, 0, 0, 0
249437, 4725, -1, 0, 0, 0, 39732, 0, 0, 0
249443, 4725, -1, 0, 0, 0, 3770, 0, 0, 0
249461, 4725, -1, 0, 0, 0, 138231, 0, 0, 0
249476, 4725, -1, 0, 0, 0, 5461, 0, 0, 0
249498, 4725, -1, 0, 0, 0, 302, 0, 0, 0
249502, 4725, -1, 0, 0, 0, 1204, 0, 0, 0
249514, 4725, -1, 0, 0, 0, 8049, 0, 0, 0
249533, 4725, -1, 0, 0, 0, 571, 0, 0, 0
249536, 4725, -1, 0, 0, 0, 313, 0, 0, 0
249537, 4725, -1, 0, 0, 0, 320, 0, 0, 0
249541, 4725, -1, 0, 0, 0, 693, 0, 0, 0
249544, 4725, -1, 0, 0, 0, 50724, 0, 0, 0
249613, 4725, -1, 0, 0, 0, 2145, 0, 0, 0
249619, 4725, -1, 0, 0, 0, 6921, 0, 0, 0
249648, 4725, -1, 0, 0, 0, 58785, 0, 0, 0
249669, 4725, -1, 0, 0, 0, 2978, 0, 0, 0
249687, 4725, -1, 0, 0, 0, 17631, 0, 0, 0
249722, 4725, -1, 0, 0, 0, 523, 0, 0, 0
249725, 4725, -1, 0, 0, 0, 331, 0, 0, 0
249731, 4725, -1, 0, 0, 0, 352, 0, 0, 0
249736, 4725, -1, 0, 0, 0, 451, 0, 0, 0
249742, 4725, -1, 0, 0, 0, 2317, 0, 0, 0
249743, 4725, -1, 0, 0, 0, 1800, 0, 0, 0
249752, 4725, -1, 0, 0, 0, 50061, 0, 0, 0
249753, 4725, -1, 0, 0, 0, 4282, 0, 0, 0
249758, 4725, -1, 0, 0, 0, 715, 0, 0, 0
249768, 4725, -1, 0, 0, 0, 25466, 0, 0, 0
249773, 4725, -1, 0, 0, 0, 16813, 0, 0, 0
249783, 4725, -1, 0, 0, 0, 6214, 0, 0, 0
249792, 4725, -1, 0, 0, 0, 456, 0, 0, 0
249802, 4725, -1, 0, 0, 0, 1138, 0, 0, 0
249803, 4725, -1, 0, 0, 0, 938, 0, 0, 0
249806, 4725, -1, 0, 0, 0, 2442, 0, 0, 0
249807, 4725, -1, 0, 0, 0, 60058, 0, 0, 0
249836, 4725, -1, 0, 0, 0, 5490, 0, 0, 0
249841, 4725, -1, 0, 0, 0, 27858, 0, 0, 0
249854, 4725, -1, 0, 0, 0, 1002, 0, 0, 0
249857, 4725, -1, 0, 0, 0, 5594, 0, 0, 0
249858, 4725, -1, 0, 0, 0, 4272, 0, 0, 0
249877, 4725, -1, 0, 0, 0, 301, 0, 0, 0
249880, 4725, -1, 0, 0, 0, 1503, 0, 0, 0
249901, 4725, -1, 0, 0, 0, 6677, 0, 0, 0
